2026-03-04 11:49:33,491 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 301 pps
2026-03-04 11:49:33,762 | CRITICAL | BLOCK_ACTION | IP: 142.251.151.119 | Reason: Threshold Exceeded
2026-03-04 11:49:33,764 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 302 pps
2026-03-04 11:49:33,766 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 303 pps
2026-03-04 11:49:33,768 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 304 pps
2026-03-04 11:49:33,769 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 305 pps
2026-03-04 11:49:33,771 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 306 pps
2026-03-04 11:49:33,772 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 307 pps
2026-03-04 11:49:33,774 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 308 pps
2026-03-04 11:49:33,775 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 309 pps
2026-03-04 11:49:33,776 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 310 pps
2026-03-04 11:49:33,777 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 311 pps
2026-03-04 11:49:33,778 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 312 pps
2026-03-04 11:49:33,779 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 313 pps
2026-03-04 11:49:33,781 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 314 pps
2026-03-04 11:49:33,782 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 315 pps
2026-03-04 11:49:33,783 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 316 pps
2026-03-04 11:49:33,785 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 317 pps
2026-03-04 11:49:33,786 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 318 pps
2026-03-04 11:49:33,788 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 319 pps
2026-03-04 11:49:33,789 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 320 pps
2026-03-04 11:49:33,790 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 321 pps
2026-03-04 11:49:33,792 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 322 pps
2026-03-04 11:49:33,794 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 323 pps
2026-03-04 11:49:33,795 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 324 pps
2026-03-04 11:49:33,797 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 325 pps
2026-03-04 11:49:33,799 | WARNING | DDOS_DETECTED | Source: 142.251.151.119 | Rate: 326 pps
